关键词,价格区间,地址,排名方式,店铺旺旺,宝贝标题,宝贝链接,宝贝id,宝贝价格,宝贝销量,在线人数50-10000000,标题排除内容
鞋,-,发货地,综合排序,理解企鹅,平底大号女鞋41 42大码旅游鞋2017春夏新款单鞋女运动40-43透气,https://item.taobao.com/item.htm?id=527212897506&ns=1&abbucket=10#detail,527212897506,59.00,327,59,
鞋,-,发货地,综合排序,足狼旗舰店,春季英伦豆豆鞋男磨砂真皮乐福鞋男士休闲鞋韩版百搭潮流懒人潮,https://detail.tmall.com/item.htm?id=40043099389&ns=1&abbucket=10,40043099389,139.00,1915,574,
鞋,-,发货地,综合排序,成跃运动专营店,特步男鞋板鞋秋冬季新款正品2016滑板鞋休闲鞋官方旗舰店运动子,https://ju.taobao.com/tg/home.htm?item_id=533858003735&tracelog=fromsearch&abbucket=10,533858003735,156.00,1613,158,
鞋,-,发货地,综合排序,小晨鞋业,VEBLEN专柜正品洞洞鞋女夏沙滩鞋2016新款防滑果冻凉女拖厚底,https://item.taobao.com/item.htm?id=533064323086&ns=1&abbucket=10#detail,533064323086,39.00,298,53,
鞋,-,发货地,综合排序,helloxgz,花花公子男士商务男鞋英伦正装皮鞋子春季新款真皮透气内增高6cm,https://item.taobao.com/item.htm?id=545714442334&ns=1&abbucket=10#detail,545714442334,148.00,701,624,
鞋,-,发货地,综合排序,努西娜旗舰店,2017春季新款单鞋 羊皮方头粗跟高跟鞋中跟 学生百搭乐福女子,https://detail.tmall.com/item.htm?id=544196460731&ns=1&abbucket=10,544196460731,178.00,5945,2149,
鞋,-,发货地,综合排序,巴布豆星光城专卖店,巴布豆童鞋2016新款女童网面透气运动鞋男童减震休闲气垫跑步,https://detail.tmall.com/item.htm?id=535962795865&ns=1&abbucket=10,535962795865,99.00,614,145,
鞋,-,发货地,综合排序,acesc艾斯臣旗舰店,艾斯臣2017春季新款小白鞋女厚底运动鞋女韩版平底学生女子百搭,https://detail.tmall.com/item.htm?id=545289125258&ns=1&abbucket=10,545289125258,158.00,2660,793,
鞋,-,发货地,综合排序,紫郁奇葩,春季新款老北京布鞋女鞋透气平底鞋绣花鞋圆头鞋民族风红色婚子,https://item.taobao.com/item.htm?id=525519859219&ns=1&abbucket=10#detail,525519859219,19.90,660,108,
鞋,-,发货地,综合排序,温妮莎鞋类专营店,黑色高帮帆布鞋女小白鞋子学生系带球鞋百搭休闲单韩版平底板,https://detail.tmall.com/item.htm?id=526527779893&ns=1&abbucket=10,526527779893,29.90,15945,1830,
鞋,-,发货地,综合排序,安踏安大专卖店,安踏男鞋板鞋男休闲鞋春夏2017新款网面透气学生滑板低帮运动,https://detail.tmall.com/item.htm?id=527168549618&ns=1&abbucket=10,527168549618,179.00,1986,280,
鞋,-,发货地,综合排序,moyorn鞋类旗舰店,2017新款春季男士豆豆鞋透气社会小伙休闲男鞋夏季韩版白色皮潮,https://detail.tmall.com/item.htm?id=544249395628&ns=1&abbucket=10,544249395628,55.00,5165,328,
鞋,-,发货地,综合排序,木木子女鞋,女鞋2017春新款平底女士内增高休闲鞋韩版学生运动百搭跑步潮,https://item.taobao.com/item.htm?id=543854764019&ns=1&abbucket=10#detail,543854764019,45.00,3121,747,
鞋,-,发货地,综合排序,林富钦,小皮鞋女春季中跟乐福鞋粗跟单鞋平底百搭夏浅口英伦风女布洛克,https://item.taobao.com/item.htm?id=544476578462&ns=1&abbucket=10#detail,544476578462,96.00,4155,2797,
鞋,-,发货地,综合排序,361度悠购专卖店,361度男鞋运动鞋正品2017新款跑步鞋 361春季减震透气跑休闲,https://detail.tmall.com/item.htm?id=544463035389&ns=1&abbucket=10,544463035389,159.00,2237,485,
鞋,-,发货地,综合排序,深源鞋业,春秋季女鞋真皮粗跟高跟中跟浅口深口防水台女士单系带职业皮,https://item.taobao.com/item.htm?id=19982105175&ns=1&abbucket=10#detail,19982105175,126.00,788,210,
鞋,-,发货地,综合排序,名品汇运动专营店,李宁跑步鞋官方旗舰店男鞋春季轻便减震防滑耐磨网面透气运动子,https://detail.tmall.com/item.htm?id=543153792421&ns=1&abbucket=10,543153792421,149.00,1961,611,
鞋,-,发货地,综合排序,361度维森专卖店,361女鞋跑步鞋2017春季新款女士运动鞋夏季休闲361度透气网面子,https://detail.tmall.com/item.htm?id=542639392757&ns=1&abbucket=10,542639392757,139.00,2017,626,
鞋,-,发货地,综合排序,多米姐,春季2017新款白色帆布鞋女韩版潮低帮百搭休闲布鞋子平底学生球,https://item.taobao.com/item.htm?id=528377752941&ns=1&abbucket=10#detail,528377752941,29.00,2227,527,
鞋,-,发货地,综合排序,安踏安大专卖店,安踏女鞋运动鞋女休闲鞋春秋2017新款网面透气学生百搭旅游跑步,https://detail.tmall.com/item.htm?id=521330186478&ns=1&abbucket=10,521330186478,169.00,2640,419,
鞋,-,发货地,综合排序,女鞋平价超市,天天特价粗跟正装鞋职业女鞋酒店工作鞋女黑色工装中跟上班女,https://item.taobao.com/item.htm?id=544257567643&ns=1&abbucket=10#detail,544257567643,58.00,1589,76,
鞋,-,发货地,综合排序,安踏锐动专卖店,安踏女鞋 跑步鞋女 2017春季新款跑鞋运动鞋休闲网官方旗舰店,https://detail.tmall.com/item.htm?id=527937394584&ns=1&abbucket=10,527937394584,175.00,5481,903,
鞋,-,发货地,综合排序,意左easy,宝宝学步鞋0-1-2岁软底婴儿鞋叫叫鞋春秋男女童鞋帆布单机能,https://item.taobao.com/item.htm?id=544575652914&ns=1&abbucket=10#detail,544575652914,16.63,1979,291,
鞋,-,发货地,综合排序,康乐欧电子商务有限公司,环球帆布鞋女学生韩版低帮平底白色布鞋女新款休闲百搭小白板,https://item.taobao.com/item.htm?id=533181639760&ns=1&abbucket=10#detail,533181639760,39.00,6431,493,
鞋,-,发货地,综合排序,奥古狮登旗舰店,奥古狮登2017新款百搭运动鞋女鞋休闲韩版气垫鞋春季单学生子,https://detail.tmall.com/item.htm?id=537864727542&ns=1&abbucket=10,537864727542,99.00,1774,347,
鞋,-,发货地,综合排序,公马旗舰店,夏季运动鞋男青年透气网面鞋韩版学生跑步鞋百搭潮款男休闲子,https://ju.taobao.com/tg/home.htm?item_id=536360122042&tracelog=fromsearch&abbucket=10,536360122042,79.90,2235,2304,
鞋,-,发货地,综合排序,回力昆联专卖店,回力椰子鞋板鞋运动休闲鞋韩版情侣男士男鞋透气网夜跑步女,https://detail.tmall.com/item.htm?id=544915700525&ns=1&abbucket=10,544915700525,69.00,1050,224,
鞋,-,发货地,综合排序,ejiaip旗舰店,春季内增高男鞋8cm休闲鞋增高鞋男10cm真皮运动潮韩版透气网,https://detail.tmall.com/item.htm?id=544558778839&ns=1&abbucket=10,544558778839,269.00,1207,327,
鞋,-,发货地,综合排序,晓彤童鞋专营店,芭芭猴童鞋男童鞋2017潮运动鞋春秋款儿童休闲鞋春秋款中女童子,https://detail.tmall.com/item.htm?id=520814469249&ns=1&abbucket=10,520814469249,19.90,1441,119,
鞋,-,发货地,综合排序,花未开5201314,正装男士皮鞋商务内增高男鞋黑色工作皮鞋英伦透气新款尖头潮子,https://item.taobao.com/item.htm?id=545732443252&ns=1&abbucket=10#detail,545732443252,69.90,2180,403,
鞋,-,发货地,综合排序,佐佑网,远步正品 休闲鞋男球鞋韩版潮女帆布鞋学生单鞋 系带布鞋情侣子,https://item.taobao.com/item.htm?id=15867053107&ns=1&abbucket=10#detail,15867053107,24.87,795,88,
鞋,-,发货地,综合排序,yangfanqihang2012yf,中年妇女妈妈平跟2017春季新款老北京布鞋单鞋休闲平底女春秋款,https://item.taobao.com/item.htm?id=535485710782&ns=1&abbucket=10#detail,535485710782,29.80,783,50,
鞋,-,发货地,综合排序,乔丹官方旗舰店,乔丹男鞋2017春夏新款跑步鞋男网面透气跑鞋情侣轻便缓震运动男,https://detail.tmall.com/item.htm?id=542815656035&ns=1&abbucket=10,542815656035,209.00,2706,452,
鞋,-,发货地,综合排序,林碧利,正品回力帆布鞋运动鞋透气板鞋男休闲鞋学生鞋春夏季青少年跑步,https://item.taobao.com/item.htm?id=39548042049&ns=1&abbucket=10#detail,39548042049,58.00,1052,131,
