关键词,价格区间,地址,排名方式,店铺旺旺,宝贝标题,宝贝链接,宝贝id,宝贝价格,宝贝销量,在线人数,标题排除内容
鞋,-,发货地,综合排序,瑞安人本鞋类专营店,人本帆布鞋女内增高韩版糖果色学生厚底松糕鞋布鞋板休闲低帮,https://detail.tmall.com/item.htm?id=37221557971&ns=1&abbucket=11,37221557971,49.00,2827,536,花花公子;安踏
鞋,-,发货地,综合排序,珂卡芙旗舰店,珂卡芙2017春季英伦风小皮鞋粗跟单鞋女平底鞋深口漆皮学生子潮,https://detail.tmall.com/item.htm?id=543861286159&ns=1&abbucket=11,543861286159,179.00,6315,3066,花花公子;安踏
鞋,-,发货地,综合排序,欧菲服饰专营店,人本平底帆布鞋男 韩版情侣低帮休闲鞋运动板鞋青少年学生小白,https://detail.tmall.com/item.htm?id=39023708171&ns=1&abbucket=11,39023708171,55.00,1581,179,花花公子;安踏
鞋,-,发货地,综合排序,哈比熊旗舰店,哈比熊男童鞋子春秋潮2017女童鞋春季新款中大童休闲儿童运动,https://detail.tmall.com/item.htm?id=41834998879&ns=1&abbucket=11,41834998879,59.80,24410,859,花花公子;安踏
鞋,-,发货地,综合排序,tbsy8,春真皮低跟工作鞋黑色粗跟单鞋正装皮鞋中跟空姐职业工装通勤女,https://item.taobao.com/item.htm?id=18873541760&ns=1&abbucket=11#detail,18873541760,99.00,933,179,花花公子;安踏
鞋,-,发货地,综合排序,骆驼服饰旗舰店,Camel/骆驼2017春季运动鞋网面鞋休闲透气情侣款户外运动跑男,https://detail.tmall.com/item.htm?id=532185466067&ns=1&abbucket=11,532185466067,229.00,1930,143,花花公子;安踏
鞋,-,发货地,综合排序,巴托巴卡母婴专营店,怪物大眼熊2017新品宝宝叫叫夏学步凉鞋男女1至3岁婴儿透气家居,https://detail.tmall.com/item.htm?id=530488167635&ns=1&abbucket=11,530488167635,33.30,825,147,花花公子;安踏
鞋,-,发货地,综合排序,宝贝一家75554623,中老年健步鞋男鞋春季户外运动鞋爸爸鞋防滑软底老人休闲旅游,https://item.taobao.com/item.htm?id=533697954797&ns=1&abbucket=11#detail,533697954797,168.00,966,121,花花公子;安踏
鞋,-,发货地,综合排序,木木屋旗舰店,木木屋童鞋2017春款1-3-6岁男童宝宝鞋 软底学步鞋防滑运动机能,https://detail.tmall.com/item.htm?id=537117369570&ns=1&abbucket=11,537117369570,69.90,4986,573,花花公子;安踏
鞋,-,发货地,综合排序,yilupingguo,蛋蛋肖 真皮酒红色内增高坡跟中跟蝴蝶结女鞋软底舒卷蛋卷单女,https://item.taobao.com/item.htm?id=544932235412&ns=1&abbucket=11#detail,544932235412,148.00,1722,1483,花花公子;安踏
鞋,-,发货地,综合排序,骆驼加鳄专卖店,【爆卖9500双】骆驼男鞋商务休闲真皮男鞋休闲鞋皮爸爸老头,https://detail.tmall.com/item.htm?id=520957826470&ns=1&abbucket=11,520957826470,299.00,384,80,花花公子;安踏
鞋,-,发货地,综合排序,ginoble基诺浦旗舰店,基诺浦 春秋款0-18月婴儿鞋宝宝机能鞋步前鞋关键鞋TXGB1605,https://detail.tmall.com/item.htm?id=526583482418&ns=1&abbucket=11,526583482418,178.00,1619,488,花花公子;安踏
鞋,-,发货地,综合排序,帕思曼,天天特价秋冬季真獭兔毛鞋女毛毛鞋平底懒人鞋韩版加绒豆豆单,https://item.taobao.com/item.htm?id=537815099588&ns=1&abbucket=11#detail,537815099588,99.00,795,178,花花公子;安踏
鞋,-,发货地,综合排序,兰兰5526,2017春季百搭白鞋女鞋帆布鞋女学生运动鞋韩版系带小白新款板,https://item.taobao.com/item.htm?id=543832808331&ns=1&abbucket=11#detail,543832808331,49.00,23977,4248,花花公子;安踏
鞋,-,发货地,综合排序,芙蓉坊1996,爱米兰 一字带尖头凉鞋细跟高跟鞋尖头小码女鞋中空韩版单新款,https://item.taobao.com/item.htm?id=527472501330&ns=1&abbucket=11#detail,527472501330,88.60,1595,496,花花公子;安踏
鞋,-,发货地,综合排序,西瑞旗舰店,男士休闲鞋反绒皮鞋子男鞋春夏复古板鞋潮韩版商务英伦牛津内增高,https://detail.tmall.com/item.htm?id=535863861895&ns=1&abbucket=11,535863861895,169.00,845,244,花花公子;安踏
鞋,-,发货地,综合排序,人本鞋类旗舰店,人本女鞋春帆布鞋女平跟小白鞋学生休闲女鞋子白色厚底松糕乐福,https://detail.tmall.com/item.htm?id=10924965668&ns=1&abbucket=11,10924965668,49.00,7667,4570,花花公子;安踏
鞋,-,发货地,综合排序,tnj旗舰店,2017新款韩版百搭情侣小白鞋社会小伙夏季白鞋潮鞋潮流休闲男子,https://detail.tmall.com/item.htm?id=529397202799&ns=1&abbucket=11,529397202799,59.00,1591,176,花花公子;安踏
鞋,-,发货地,综合排序,yxy旗舰店,YXY童鞋春秋款男女童宝宝学步鞋单鞋真皮软底婴幼儿步前0-1-2岁,https://detail.tmall.com/item.htm?id=536230399935&ns=1&abbucket=11,536230399935,89.00,543,164,花花公子;安踏
鞋,-,发货地,综合排序,回力童鞋旗舰店,回力2017新款童鞋儿童帆布鞋卡通炫酷男童女童休闲板子学生潮,https://detail.tmall.com/item.htm?id=542976339354&ns=1&abbucket=11,542976339354,39.00,4770,426,花花公子;安踏
鞋,-,发货地,综合排序,hotmarzz旗舰店,hotmarzz 纯色情侣人字拖男士休闲凉拖鞋夏夹脚防滑平底沙滩男,https://detail.tmall.com/item.htm?id=45177496560&ns=1&abbucket=11,45177496560,29.00,2735,70,花花公子;安踏
鞋,-,发货地,综合排序,花公子品牌男鞋店,男士皮鞋英伦商务正装黑色牛皮鞋青年新款潮鞋真皮春夏季休闲男,https://item.taobao.com/item.htm?id=544435435854&ns=1&abbucket=11#detail,544435435854,99.00,733,63,花花公子;安踏
鞋,-,发货地,综合排序,凌特鞋类专营店,2017春秋季奶牛气垫增高韩版潮流运动风跑步鞋男鞋休闲情侣潮,https://detail.tmall.com/item.htm?id=536907686048&ns=1&abbucket=11,536907686048,48.00,1034,99,花花公子;安踏
鞋,-,发货地,综合排序,xinyuan34138772,春季帆布鞋女平底懒人鞋百搭小白鞋黑白色板鞋韩版学生布休闲,https://item.taobao.com/item.htm?id=521534507165&ns=1&abbucket=11#detail,521534507165,29.00,4658,266,花花公子;安踏
鞋,-,发货地,综合排序,木木兔旗舰店,木木兔儿童运动鞋毛毛虫春秋2017新款男童休闲鞋女童中大宝宝潮,https://ju.taobao.com/tg/home.htm?item_id=43933788835&tracelog=fromsearch&abbucket=11,43933788835,49.00,1789,2089,花花公子;安踏
鞋,-,发货地,综合排序,tyz87,春季男士帆布鞋休闲鞋平底男鞋潮布鞋板鞋学生鞋懒人老北京布,https://item.taobao.com/item.htm?id=532044832100&ns=1&abbucket=11#detail,532044832100,16.90,1280,62,花花公子;安踏
鞋,-,发货地,综合排序,andy一家人,【天天特价】回力女鞋休闲运动鞋网面鞋超轻透气网一脚蹬懒人,https://item.taobao.com/item.htm?id=44580381701&ns=1&abbucket=11#detail,44580381701,58.80,568,58,花花公子;安踏
鞋,-,发货地,综合排序,okko瑞景专卖店,春季新款男鞋皮鞋潮鞋马丁鞋英伦工装鞋子男士休闲韩版潮流百搭,https://detail.tmall.com/item.htm?id=536346373900&ns=1&abbucket=11,536346373900,128.00,3630,226,花花公子;安踏
鞋,-,发货地,综合排序,mra旗舰店,布洛克男鞋子冬季2016新款青春潮流韩版百搭潮鞋英伦男士休闲皮,https://click.simba.taobao.com/cc_im?p=%D0%AC&s=1475495471&k=461&e=j1B0vMkImuJcoofcplq3How3xaYg0yfKU%2BB82OFXdf%2FtFCOrOiAm0OGUU%2FIcv7mMLNh3AnoggD%2F8kWeqNJ0tDcpTPDLsCmK%2BTP4%2Bl%2FgU2%2BlR8NglwhGZG2tUktC2GgBcgau9lCw5rNqa51PKWKb1rrrI%2FfeikB9I7y6fZYIt4%2BLfECsOwCasIJlxkc8LOsYrieJi9C0M%2FzTIGx7HsjwGcZ%2BAtg8tEtgav0sw3D4eN0GCttDctBlXsS6FUVBILc3fjg9VCbXnB%2BcRwZxTR7wqWeI7h4vkKDxSJXgO4cEuRVpl4%2FET6yWPq%2BJjV2%2FY3AkpyF6P9SVQG2de8rgaZgMYupvToQ%2F18UCDWlUhK4ZcyL5sS4XKi7QuXkYACUO531SZnJp8ZdyBIuC08s3EEJk7TfDXZXPDx5S5gbjl3eq%2FsGD3IjtbCjyf7Xe5OU9%2BD3k1ZBgh5N3qdq4%3D,40193128649,189.00,5417,951,花花公子;安踏
鞋,-,发货地,综合排序,欧哥曼旗舰店,2017新款男鞋春季潮鞋透气休闲鞋子男士板鞋韩版皮男青年懒人,https://click.simba.taobao.com/cc_im?p=%D0%AC&s=1475495471&k=461&e=3wjDM18O6Kpcoofcplq3How3xaYg0yfKU%2BB82OFXdf%2FtFCOrOiAm0OGUU%2FIcv7mMLNh3AnoggD9dWGb%2F4jtRy7a3qKKK%2FEHMRv%2FpTiSDR7JR8NglwhGZG2tUktC2GgBcgau9lCw5rNqa51PKWKb1rrrI%2FfeikB9I7y6fZYIt4%2BLfECsOwCasIJlxkc8LOsYrieJi9C0M%2FzTIGx7HsjwGcZ%2BAtg8tEtgav0sw3D4eN0GCttDctBlXsS6FUVBILc3fjg9VCbXnB%2BeQZQ3xRTWMT2X5G%2FfH4MUeKxwPaCZvw6w3ZS%2BqFDSbaza5IK6IOS%2BcD97XMNHAc6TD%2F8UU%2FjXyHOYbFPjgvKYGCkqrNf8pmvRb8pI9ueCLR5aZMS8X5%2B9iQ3LGIBqX1HNNtOnN9zp6qyJISgjj%2BzWgPYGVoJzSWCtOdQmGG0YSA8DL5zBi4ZH3m6Shl%2BMgows%3D,531391782768,119.00,1179,272,花花公子;安踏
鞋,-,发货地,综合排序,骆驼男鞋官方旗舰店,Camel骆驼男鞋 2017春季轻盈透气舒适拼色潮流运动休闲男,https://click.simba.taobao.com/cc_im?p=%D0%AC&s=1475495471&k=461&e=XU0tvHZNaQpcoofcplq3How3xaYg0yfKU%2BB82OFXdf%2FtFCOrOiAm0OGUU%2FIcv7mMLNh3AnoggD8JL7DzXBlBHlinLoY9%2FBW1XOeBZDFEG4BR8NglwhGZG2tUktC2GgBcgau9lCw5rNqa51PKWKb1rrrI%2FfeikB9I7y6fZYIt4%2BLfECsOwCasIJlxkc8LOsYrieJi9C0M%2FzTIGx7HsjwGcZ%2BAtg8tEtgav0sw3D4eN0GCttDctBlXsS6FUVBILc3fjg9VCbXnB%2BeQZQ3xRTWMT53y7EeyZPfVJMvoSrkRGYVfgRMm3uJtU%2BbE4jvz8ICxwKaeUwE6AKFLaykoXpATIA6qxnWtvd4nCkqrNf8pmvRb8pI9ueCLR5aZMS8X5%2B9iQ3LGIBqX1HNNtOnN9zp6q4F5l6QRzWd1jKnjyLExecHELsaXjFMkDZAOck03OPm%2FLBsuXFsp2wA%3D,535861215660,229.00,730,197,花花公子;安踏
鞋,-,发货地,综合排序,龙马精神_1,卡丹路春季新款真皮男鞋青年男士休闲皮鞋男韩版百搭潮子懒人,https://item.taobao.com/item.htm?id=528129010392&ns=1&abbucket=11#detail,528129010392,369.00,219,112,花花公子;安踏
鞋,-,发货地,综合排序,人本鞋类旗舰店,人本春季复古马丁鞋女 百搭中跟小白鞋女单鞋子 时尚英伦风女靴,https://detail.tmall.com/item.htm?id=535880718681&ns=1&abbucket=11,535880718681,99.00,3730,700,花花公子;安踏
鞋,-,发货地,综合排序,newbalance旗舰店,New Balance/NB 996系列 男鞋女鞋复古跑步鞋休闲运动MRL996HA,https://detail.tmall.com/item.htm?id=520289048637&ns=1&abbucket=11,520289048637,819.00,2362,665,花花公子;安踏
鞋,-,发货地,综合排序,玛菲玛图服饰旗舰店,玛菲玛图2017春季新款平底鞋复古真皮深口单鞋女圆头休闲小皮女,https://detail.tmall.com/item.htm?id=543578742102&ns=1&abbucket=11,543578742102,168.00,1327,738,花花公子;安踏
鞋,-,发货地,综合排序,努西娜旗舰店,2017春季新款单鞋女 韩版学生百搭方头高跟鞋粗跟中跟女乐福,https://detail.tmall.com/item.htm?id=544821346575&ns=1&abbucket=11,544821346575,178.00,880,363,花花公子;安踏
鞋,-,发货地,综合排序,一加一运动专营店,匹克板鞋男鞋低帮学生运动鞋 春季轻便滑板鞋韩版白色男休闲子,https://detail.tmall.com/item.htm?id=520941702588&ns=1&abbucket=11,520941702588,149.00,570,105,花花公子;安踏
鞋,-,发货地,综合排序,蓉蓉在首尔,韩国正品VANS范斯old skool情侣休闲鞋板鞋男鞋女经典款0D3HY28,https://item.taobao.com/item.htm?id=533046281351&ns=1&abbucket=11#detail,533046281351,398.00,381,188,花花公子;安踏
鞋,-,发货地,综合排序,贵人鸟官方运动旗舰店,贵人鸟男鞋跑鞋一脚蹬春夏新款轻便舒适运动鞋耐磨男子休闲跑,https://detail.tmall.com/item.htm?id=536600165064&ns=1&abbucket=11,536600165064,149.00,609,157,花花公子;安踏
鞋,-,发货地,综合排序,奥琪妮旗舰店,奥琪妮2017春新款真皮小白鞋系带松糕防滑休闲平底单女运动板,https://detail.tmall.com/item.htm?id=543791940369&ns=1&abbucket=11,543791940369,158.00,1518,241,花花公子;安踏
鞋,-,发货地,综合排序,大黄蜂旗舰店,大黄蜂女童鞋秋季减震气垫鞋儿童运动鞋网面透气中大童女6-12岁,https://detail.tmall.com/item.htm?id=534625589421&ns=1&abbucket=11,534625589421,109.00,708,68,花花公子;安踏
鞋,-,发货地,综合排序,宁酷运动专营店,李宁女鞋2017春秋季新款耐磨防滑多彩减震慢跑运动休闲跑步,https://detail.tmall.com/item.htm?id=544139642392&ns=1&abbucket=11,544139642392,176.00,672,424,花花公子;安踏
鞋,-,发货地,综合排序,木林森男鞋旗舰店,木林森男鞋春季男士休闲鞋运动鞋男韩版学生透气跑步百搭潮子,https://detail.tmall.com/item.htm?id=544016404197&ns=1&abbucket=11,544016404197,258.00,351,72,花花公子;安踏
鞋,-,发货地,综合排序,snoopy童鞋旗舰店,史努比童鞋男童帆布鞋春秋新款透气运动鞋时尚百搭板儿童布潮,https://detail.tmall.com/item.htm?id=537889646738&ns=1&abbucket=11,537889646738,79.00,781,87,花花公子;安踏
鞋,-,发货地,综合排序,腾吉运动户外专营店,NIKE耐克男鞋 跑步鞋2017春季新款AIR ZOOM气垫运动831561- 001,https://detail.tmall.com/item.htm?id=41780611485&ns=1&abbucket=11,41780611485,669.00,604,263,花花公子;安踏
鞋,-,发货地,综合排序,木木兔旗舰店,木木兔女童运动鞋春秋2017新款真皮男童鞋儿童跑步宝宝休闲潮,https://detail.tmall.com/item.htm?id=538265572520&ns=1&abbucket=11,538265572520,89.00,1271,1373,花花公子;安踏
鞋,-,发货地,综合排序,骆驼牌鞋类旗舰店,【热销3000】骆驼2017春季女鞋板鞋运动休闲鞋情侣小白平底单,https://detail.tmall.com/item.htm?id=544135770044&ns=1&abbucket=11,544135770044,159.00,1467,275,花花公子;安踏
鞋,-,发货地,综合排序,卡特兔母婴旗舰店,卡特兔宝宝学步鞋2017春秋布鞋女童帆布鞋男童机能防滑软底子,https://detail.tmall.com/item.htm?id=534693190159&ns=1&abbucket=11,534693190159,98.00,1010,190,花花公子;安踏
鞋,-,发货地,综合排序,回力芭芭猴专卖店,回力儿童帆布鞋休闲鞋男童鞋女童韩版潮布鞋2017春季新款宝宝,https://detail.tmall.com/item.htm?id=528005797977&ns=1&abbucket=11,528005797977,39.00,1091,68,花花公子;安踏
鞋,-,发货地,综合排序,爱偷腥的猫00,春季新款中跟套脚粗跟女士小皮鞋英伦方头漆皮单鞋女黑色高跟潮,https://item.taobao.com/item.htm?id=544548719029&ns=1&abbucket=11#detail,544548719029,99.00,1110,864,花花公子;安踏
鞋,-,发货地,综合排序,百丽集团男鞋旗舰店,【新品】Belle/百丽2017春季商务正装时尚系带牛皮男皮25902AM7,https://detail.tmall.com/item.htm?id=544389399692&ns=1&abbucket=11,544389399692,368.00,834,252,花花公子;安踏
鞋,-,发货地,综合排序,吕艳0318,VANS男鞋Old Skool经典款低帮情侣滑板鞋 VN-0D3HY28正品黑白女,https://item.taobao.com/item.htm?id=524765783904&ns=1&abbucket=11#detail,524765783904,377.00,148,181,花花公子;安踏
鞋,-,发货地,综合排序,newbalance童鞋旗舰店,New Balance NB童鞋 男女儿童鞋 中大童复古鞋运动KV373ABY,https://detail.tmall.com/item.htm?id=543631263821&ns=1&abbucket=11,543631263821,299.00,1268,623,花花公子;安踏
鞋,-,发货地,综合排序,卡卡妮亚旗舰店,卡卡妮亚尖头高跟鞋新款单鞋女2017春性感细跟浅口银色单超高跟,https://detail.tmall.com/item.htm?id=542799306484&ns=1&abbucket=11,542799306484,179.00,584,322,花花公子;安踏
鞋,-,发货地,综合排序,hans直营店,0春秋季款冬6个月1岁12男5宝宝新生幼儿女婴儿布子学步软底秋,https://item.taobao.com/item.htm?id=44109230289&ns=1&abbucket=11#detail,44109230289,17.90,697,174,花花公子;安踏
鞋,-,发货地,综合排序,yfjgood,芭比迪士尼童鞋春秋款儿童运动鞋女童休闲鞋透气中童26-37码清仓,https://item.taobao.com/item.htm?id=522219024215&ns=1&abbucket=11#detail,522219024215,69.00,231,80,花花公子;安踏
鞋,-,发货地,综合排序,loyipop,刺激！超过3000人参与 可能不适合您，一双神秘的鞋,https://item.taobao.com/item.htm?id=16564571004&ns=1&abbucket=11#detail,16564571004,138.00,305,3506,花花公子;安踏
鞋,-,发货地,综合排序,意尔康女鞋旗舰店,意尔康女鞋2017春季新款尖头细跟单鞋女时尚浅口黑色优雅高跟,https://detail.tmall.com/item.htm?id=543601969677&ns=1&abbucket=11,543601969677,179.00,488,314,花花公子;安踏
鞋,-,发货地,综合排序,步丹运动专营店,特步女鞋跑步鞋 2017年春新款女士粉黑色运动鞋 复古网面旅游,https://detail.tmall.com/item.htm?id=532014145517&ns=1&abbucket=11,532014145517,159.00,331,58,花花公子;安踏
鞋,-,发货地,综合排序,男人主流,欧美风厚底帆布鞋一脚蹬懒人鞋增高帆布鞋运动刺绣布男松糕男,https://click.simba.taobao.com/cc_im?p=%D0%AC&s=742367359&k=461&e=tZ%2BsKEjcGfD3SrQ6iS70YcRtc4V0SSzdKIeTlk2x%2Fw1WGeJ%2BBbu4kgYZomqaJZIeamNuowO%2F2w7Ai%2FnvhmtJgwqlyVpNSHr1hDO7wc0dCsER40pxsdjOJYrrfq%2Fh5VEsuPicMTXkgLMemSVSZP%2Bvv3FGI6cm2FzrQqHjur9bUjOQIut11XX3fDz4nhPu0NwosvlhvLFTKpJuhSyua1LOgenUyvifZYGRujO42h%2ByAuNtVo%2FrHl%2Bio3fnzxtisRpnD6BqbrcxxEdJwfYVrxJfMdqY7AwWmn%2BMrKvHqAmZPUCOhNtrUhdeVYTcsyVTPTAm9ajZ9JAoKn9gz2RT1ctHrCISmS7%2FHrwza6h1%2FSFIOOIqECB2WkwbSlfIz190Tc%2BZqxr6rm49RY74YLcO5xKEzJgMVAt6m6wt1KaZF1aXsUo5Qr8m0CQ0M7CfnOJcrIW5h1w%2F4lhjrzA%3D#detail,542047158849,165.00,740,295,花花公子;安踏
鞋,-,发货地,综合排序,j23001,男鞋韩版休闲鞋男士脚蹬帆布鞋低帮懒鞋工作鞋黑色子潮百搭,https://click.simba.taobao.com/cc_im?p=%D0%AC&s=742367359&k=473&e=W%2Ff1nNF8SmH3SrQ6iS70YcRtc4V0SSzdKIeTlk2x%2Fw1WGeJ%2BBbu4kgYZomqaJZIeamNuowO%2F2w4YFTp5FyOJlXc8q4N3aSc2UhdLQw4eV30R40pxsdjOJYrrfq%2Fh5VEsuPicMTXkgLMemSVSZP%2Bvv3FGI6cm2FzrQqHjur9bUjOQIut11XX3fDz4nhPu0NwosvlhvLFTKpJuhSyua1LOgenUyvifZYGRujO42h%2ByAuNtVo%2FrHl%2Biox6%2Bgg1RJbpJyqJWWszxZoxliyN7Bc5BATgq3jfffgyror2ui7PzQFjMXvI3Z%2BqGUPPnhB618TjM02iHHNiMleDPZlCKxDnZb4%2FDcSoanz81iOa7XeZA%2B1ZmQQCQqGIZjnNuWUpuPV0e5G09eIBL0y88IbsFI6Xpb8%2BlXPJ8WJ%2BtcZPWSLpcW0YiCSxe8yk90KSqf1wATN%2FHqzGaaUrHfLLyjATODYHG5Q%3D%3D#detail,538508807505,39.00,2273,257,花花公子;安踏
鞋,-,发货地,综合排序,百丽官方旗舰店,聚百丽春季专柜同款女鞋漆皮单鞋牛皮高跟鞋方扣正装3Z6A2AQ6,https://detail.tmall.com/item.htm?id=544433571760&ns=1&abbucket=11,544433571760,298.00,448,278,花花公子;安踏
鞋,-,发货地,综合排序,zsazsazsu官方旗舰店,莎莎苏女鞋春季浅口中空单鞋女 平底平跟方头漆皮单女方扣单,https://detail.tmall.com/item.htm?id=45915152576&ns=1&abbucket=11,45915152576,528.00,136,54,花花公子;安踏
鞋,-,发货地,综合排序,傅瑾jing,2017春新款绸缎高跟鞋细跟一字带尖头水钻单鞋女新娘婚侧空女,https://item.taobao.com/item.htm?id=542282121431&ns=1&abbucket=11#detail,542282121431,138.00,193,158,花花公子;安踏
鞋,-,发货地,综合排序,lc801015,天天特价儿童帆布鞋春匡威美国童鞋男童女童布鞋大童球小童板,https://item.taobao.com/item.htm?id=537341115557&ns=1&abbucket=11#detail,537341115557,49.00,500,133,花花公子;安踏
鞋,-,发货地,综合排序,金倬运动户外专营店,李宁女鞋跑步鞋2017春夏季新款网面透气板鞋经典鞋子休闲运动,https://detail.tmall.com/item.htm?id=528853233848&ns=1&abbucket=11,528853233848,139.00,397,199,花花公子;安踏
鞋,-,发货地,综合排序,西瑞旗舰店,西瑞男鞋冬季潮鞋英伦休闲皮鞋反绒皮复古牛津鞋低帮沙漠板子,https://detail.tmall.com/item.htm?id=539833638172&ns=1&abbucket=11,539833638172,168.00,264,78,花花公子;安踏
鞋,-,发货地,综合排序,回力芭芭猴专卖店,回力童鞋儿童帆布鞋男童鞋子潮春秋2017新款大男女童板休闲,https://detail.tmall.com/item.htm?id=524427672154&ns=1&abbucket=11,524427672154,49.90,1132,55,花花公子;安踏
鞋,-,发货地,综合排序,百丽官方旗舰店,百丽2016春季专柜同款编织猪皮女鞋（自编）BEAB3AM6,https://detail.tmall.com/item.htm?id=544433607520&ns=1&abbucket=11,544433607520,398.00,217,127,花花公子;安踏
鞋,-,发货地,综合排序,顽美猫旗舰店,2017春季韩版运动鞋女跑步鞋百搭椰子学生网面透气板女休闲子,https://detail.tmall.com/item.htm?id=545134422105&ns=1&abbucket=11,545134422105,49.90,308,73,花花公子;安踏
鞋,-,发货地,综合排序,有故事才是好男人,小白鞋春季女2017新款百搭韩版休闲板鞋时尚学生厚底内增高女潮,https://item.taobao.com/item.htm?id=544075939679&ns=1&abbucket=11#detail,544075939679,59.00,547,63,花花公子;安踏
