博主,博文,日期,转发数,评论数,点赞数
媛丸子,我娃今天给我说，妈妈，环境保护特别重要，看到河水从清变浑浊，我眼泪都快出来了。。。。之后，就真的使劲哭，边哭边说咋办啊，土地都干了。。。我第一反应是，要是环保局都这个态度，雾霾治理绝对妥妥的[加油] ,2017-03-14 21:19,,2,
崔荣宰的大鼻屎的名单,#雾霾来袭#每天都在[酷库熊怒]呼吸肮脏的空气 但人们好像觉得这很无所谓 看到只有少部分行人带着口罩看到天空皱皱眉 真不知道是不是有一天变成不分昼夜 影响大家的利益了 才知道抠破脑袋去治理 ,2017-03-14 21:06,,,
用户9279593922,神的无奈 天地复原，混沌一片。盘古生怨，轮斧再砍。霾走斧端，斧去又返。盘古无奈，丢斧入眠。女娲睁眼，子孙不见。下界遍览，妖雾弥漫。,2017-03-14 20:52,,,
Lizzz酱,只要我答应自己的事情，我就一定会做到，即使只是一秒过脑的鬼想法！我跑过北京国际雾霾马拉松，香港国际大坡马拉松，只要我跑快一点妈妈就阻止不了我！并不是在教你叛逆，你只是要对自己的热爱负责！ We all live once; seize the day and love you Mom！ ,2017-03-14 20:51,,,9
歌神集,坚持真唱反对“雾霾” 崔健《混水湖漫步》 秒拍视频 . ,2017-03-14 20:39,3,1,4
二三二一,@Empress_Diana 人大公关叫兽张惟英：外地人来北京应该设道门槛，允许你进来你才能进来。外地人素质低，长期没工作后，往往会偷鸡摸狗，铤而走险，给社会带来不稳定因素。他们生活无着，处境寒酸，只会加重北京雾霾，破坏北京环境。北京城市的发展并不需要这些人，我们也不欢迎这些人。 ,2017-03-14 20:37,1,,
biu-屁屁,最烦的地方是 我知道我不了解那些雾霾背后牵扯的很多利益和知识 老师却只讲套话 屁都不放 ,2017-03-14 20:33,,,2
姜咩咩耶,为什么到大连天空就都是雾霾了.... ,2017-03-14 20:25,,2,27
塞啊塞啊塞,mlgb 能不能不下雨 能不能出一天太阳？？？！！！也是受够了这里天气 md 下雨下的神烦 还是北方好 宁愿吸雾霾 何春天的庄里没雾霾 ,2017-03-14 20:19,,10,3
铁柱黄,没有雾霾的京城好棒 |北京·交大... ,2017-03-14 20:07,,,2
小公主苏妃丫,|不想上班（... 我变成了这样一类人，没有特点没有寄托。隐隐觉得难受，心里的郁闷像雾霾一样存在。瞧不上别人，也看不起自己，因此更加苛责别人，也常常和自己较劲。我的不开心日常化，无非是在潜意识里讨厌自己。 ,2017-03-14 19:51,1,,
万能的老师,咨询大家一个问题啊！好多粉丝问我求书的时候，结尾通常会说‘’笔心‘’或者‘‘比心’’或者再多加一个。还有通过语音说bixin的。那么问题来了，笔心是什么意思？新演变出来的网络用语吗？ps还在出差的路上，大雪雾霾天，高速公路封闭了。找书的别着急。 ,2017-03-14 19:41,,29,3
和记环球电讯数据中心,【数据中心的清洁有何不同？】如果数据中心处于过湿或过干，各种雾霾、粉尘等环境中，对运行的设备伤害极大。数据中心按照不同区域指定不同的清理规则，例如工作辅助区、大厅、走道等可由一般清洁人员日常清洁即可。机房、设备区域应是具备严格审核的工作人员负责清洁，穿戴防静电服装，进行专业清洁。 ,2017-03-14 19:14,4,8,5
莘思宇,男生不该把自己停留在雾霾般的感情围墙中 踏出去 会发现 人生最灿烂的年龄段 是用来竭尽全力 孤注一掷的脱贫 而不是绞尽脑汁脱单 ,2017-03-14 19:07,,,1
余胜海,寻找雾霾的成因真的很难吗?#听海观潮# ,2017-03-14 18:53,38,16,6
河南日报,#2017全国两会##两会最靓音#【吸烟污染堪比“室内雾霾”】在室内连续抽上几支烟，室内PM2.5浓度可能比严重雾霾天时还要高出好几倍。烟民手中的香烟，作为制造室内空气污染的“罪魁祸首”，是否还能“任性”？今年的政府工作报告中提出，推进健康中国建设。部分代表委员建议，应借鉴北京、上海等地的地 ,2017-03-14 18:33,2,,9
尚苑姑娘,今天没有雾霾 ,2017-03-14 18:29,,,2
V冷眼淡观天下事,这两天在北京找工作，走南闯北到处跑，居然让我发现北京雾霾为什么那么重的原因了！ ,2017-03-14 18:11,1,11,
wasabihhhhhh,天是真的很蓝很蓝蓝到让人回忆不起雾霾的压抑脑子里突然浮现出多年前约翰纳什与艾丽西亚相遇的场景波光粼粼的湖面 枝繁叶茂的大树下太阳热烈 水波温柔共同度过的时光 都叫永远,2017-03-14 18:10,,,
Atoca,难得一天下午没雾霾，去南站吃螺蛳粉，然后可以骑车回家。石龙路这家螺蛳粉不如胶州路的家味螺蛳粉，主要是不够臭，所以不够劲，要多加一份酸笋才有点意思，并且没土豆，豆皮和荷包蛋炸得不酥。价钱也便宜一些。 ,2017-03-14 18:03,,,2
多多多德,那条关于雾霾的微博，已经被彻底限制转发了！多谢！么么哒。微博六年来第一次旗帜鲜明的表明个人观点。。 ,2017-03-14 17:55,13,1,3
程希_13,真希望两会能持久的开下去，河北人民就能多享受一下这样的蓝天，多呼吸一口新鲜空气，然而蓝天不属于河北，我听到了GDP对雾霾的渴望和呼唤，这样的以环境为代价发展经济的日子什么时候是个头呢？ ,2017-03-14 17:53,,,5
菠萝不困不困,又见到了北方雾霾天。我的内心是排斥的……北京、西安、哈尔滨、天津成为出差重灾区敢不敢让我去三亚啊啊啊啊 ,2017-03-14 17:43,,7,
LeslieChan的微博,2017元旦說圖解義：（圖二）經濟發展其中一個副產品 - 空氣污染，對人類健康帶來的傷害可而易見，據去年英國一項空氣污染物的研究報告，PM2.5的微粒子通過人類呼吸系統進入肺部後，可以繼續隨著血管進入人體體內每一個器官、包括腦袋（可能這就是造成腦殘的主要原因）；圖中的霧霾圖片攝於去年山東濰坊 ,2017-03-14 17:35,,2,15
nice2061,这个玉兰花儿，一点儿香味也没有。今天下午，帝都开始刮南风了，明天，雾霾将席卷帝都吗？给代表们留点儿印象和体验？ ,2017-03-14 17:34,,,
晴空万里南飞的燕子,发表了博文《你让我》你让我诗/灿川你让我一顾倾城令人猜想什么样的山，什么样的海，能孕育这样的灵你让我娇羞心中长期以来积聚的雾霾，像春天湖面上的冰融化了你让我不能自持有人说世界上最美的是春天和爱情在我眼|你让我 ,2017-03-14 17:30,,,
在回忆里笑-,没有雾霾的天空也是美美哒 ,2017-03-14 17:27,,10,
刘路军先生,#微博看两会# 北京人这两天很纳闷：为嘛一开会，雾霾就没了？网友神回复：能吹的人，都来了嘛！ ,2017-03-14 17:19,,,3
常没想法酱,上周五和本周一～今天依然是大晴天……空气中隐约弥漫着即将被雾霾支配的恐惧…… ,2017-03-14 17:18,,,2
皎潔曼妙的白蓮花,將暮未暮的原野上空飄雪的三月和霧霾匯聚灰濛一片，這是唯一令我感到安慰，女友說眼前所見的一片像海，因為它們同樣深不可測，同樣美，而不能思議。孤身穿行其中，沒有方向，沒有途人，只有自我掙扎與思辨的過程，而我只管放膽邁步。 ,2017-03-14 17:18,,,1
西安美食娱乐排行榜,#西安的春天#《春天的西安，你一定不能错过的十件事！》漫长的冬天终于结束了，雾霾的侵袭也不复存在，西安迎来了春暖花开，草长莺飞的季节。在这个异常美好的时节，在西安一定要做完这10件事，会令你在温暖的春天幸福感爆棚哦~ |春天的西安... ,2017-03-14 17:14,1,,3
中国国际能源舆情研究中心,【煤改气遇阻，国家能源局局长：中国完全“去煤化”不现实】“当前很多地方以控制煤炭消费总量，推进‘煤改气’来治理雾霾，但执行政策过程中容易出现‘一刀切’的现象，所有工业燃煤项目一律严控用煤指标，而改天燃气又遇到气价贵、供应不足的矛盾，无奈之下，很多工业企业就只有停产待工。怎么办？在 ,2017-03-14 17:00,4,3,
元漉,刚才有个女生跟我说：你变了。我问我变成啥样了？她说你现在变的看不清看不懂了，就跟北京的雾霾一样了。我说不是我变了，是我把自己的位置改变了，我原来以为我可以改变一些人和事，而现在我知道了，这个世界需要的不是医院的医生而是餐厅的服务员，你们点啥我上啥，没有的菜概不接客啦。想明白了，才 ,2017-03-14 16:58,,1,
郁唯为为唯郁,.雾霾 | 综合材料 ,2017-03-14 16:53,,9,44
血泪抛绿豆,荷兰设计师Dann因利用人类、科技还有空间的关系做出的社群设计而闻名于全球，他和工作室设计出的雾霾塔将附近的PM2.5吸入其中，从而极大的提高其周边的公共空间的空气质量，很高兴能参与并拍摄这一项目。 ,2017-03-14 16:42,1,,1
做你的吟荡假期,早上九点出门，前门安检验身份证，广场安检验身份证，马路上排着长队安检，天安门东地铁安检，水拿出来喝一口蟹蟹，犹记得隔壁老王家进关也不安检，真母鸡这帮损子有多重要，生命重如泰山雾霾有治理方法了吗？食品安全解决了吗？打假做好措施了吗？ |北京 ,2017-03-14 16:41,,1,
MCR_FORYOU,真心不太能接受的了这里的春夏秋冬春天明明还没怎么温暖，宿舍暖气就断了秋天明明寒风都呼啸了，宿舍暖气却迟迟不来夏天没雨还热的要死冬天不怎么冷却不是雾霾就是大风真的不太能受得了啊断了暖气的今天我只想回家 ,2017-03-14 16:40,,2,1
燕她她,这几天以为这个Pinterest app有问题，来回下载安装！原来Pinterest被墙了！雾霾国心智恶毒又低能！另求推荐稳定的付费vpn！ ,2017-03-14 16:37,,14,1
高大侠不MG如大海深沉,#光合作用#风和日丽、轻度雾霾，在汾河公园学廷哥接受日光的洗礼 ,2017-03-14 16:33,,,3
象风不必在意,连续休息了三天其中两天是严重雾霾天。一休息，我自然而然的不吃晚饭，不吃零食，条件反射吧说明我很有克制力，这都是跑步惹得祸。这个月350应该是轻松完成的 ,2017-03-14 16:29,,,3
讨厌香菜的河豚,想听歌时曲子难找逢周末时醒得太早还有慢了一步的公交上完体育课想喝水没带钱回忆上涌却遗失了照片一个人生日又过了一年,2017-03-14 16:27,,,1
绿萝_199611,汽车在通往桓仁的公路上行驶。透过车窗看远处景物昏喑模糊。天气预报说今天有雾霾。女儿刚刚打来电话劝我们改变计划，这种天气爬山得不偿失，我说太阳出来后空气就会转好。她说也好，如果不行就原路返回吧，改天再去，并叮嘱我们要注意安全。天公虽不做美，但此时的心里却美滋滋的。 ,2017-03-14 16:23,,25,26
满囤儿,西安秦岭空气18元一罐让我们想到了当年大众刚刚开始重视雾霾的时候，每次从美亚买东西，拆开快递里的那个防撞用的空气袋，上边因为写着“Made In Canada”而被同事抢着扎破吸。不知道现在还有没有人这样干，因为按罐装秦岭空气的理念，这一小袋加拿大空气，也该卖个五块八块呀。 ,2017-03-14 16:19,,,1
小碗长胖子,心情超级不好！寝室信号差的微博图片都打不开，环境差的慢慢无法忍受，实验室断网好几天了，电脑不在身边，身体不舒服，没有亲人、朋友在身边，逛街貌似都只能一个人。在一个大半年是冬季的城市，要么雾霾，要么太阳亮的刺眼。睡眠不好。 ,2017-03-14 15:51,,4,
V创意-pearl,我也很绝望。。。。这办公环境比雾霾还严重。。。。用那句话说应该在公共场合吸烟的头上给他栓一个氢气球 ,2017-03-14 15:45,,14,3
東京垃圾廠,剛剛那篇端傳媒的文 看完鼻子酸 我有時候真的忍不住去跟家人爭辯這些東西 爭完也是自己一個人難過 就很想哭 有一次我在朋友圈發了關於霧霾的東西 被我奶奶發微信說「希望你在發表自己的言論之前好好想想」我也唰地一下眼淚出來了 不知道怎麼講的話作者都寫出來了 ,2017-03-14 15:36,,5,
salonbass,市民中心办完事，忙里偷闲，趁重重幼儿园去，何不来场说去就去的踏青。正是我最爱的天气，凉的恰到好处，热空气蠢蠢欲动，雾霾也被潮湿的冷风吹的干干净净。图书馆被红绿香草掩映，人也变的精神起来，正是踏青的好季节。 ,2017-03-14 15:35,,,
希望小姐--,#申论技能# 4-2：治理雾霾，需要告别“口头环保”雾霾的接连袭京和环保部公布的pm2.5监测表，让人们对大气灰霾和pm2.5有了初步了解。厚德载“雾”，自强不“吸”，看似诙谐的吐槽，实则关乎每个人的生活。面对日益严峻的生态环境，人们不禁思考：是谁催生了霾？产业结构的失衡，节能减排的欠账和生态 ,2017-03-14 15:25,,,1
橙橘子洲,用微笑来驱散心中的雾霾 |太原·下元... ,2017-03-14 15:14,,17,24
Brand-Neww,啊才发现老师们读研读博基础背景都蛮雄厚。都是大神天生的加后天的。A:"当年给我爸开车的司机就有仨，那个车就相当于现在几百万的车"B:"我爸和加拿大谁谁谁私聊较好"C:"我读北大博士也不是很难就一步一步考上了，因为我爸也是个挺有能力的人"D:"雾霾，我先生一下去买了三个空气净化器，我家没有电 ,2017-03-14 15:01,,,
欢岛,给清扬拍片片 被造型了雾霾唇～其实最初内心是拒绝的 现在竟然被化妆师洗脑觉得挺好看@刘清扬-CHICTOPIA@编号223 ,2017-03-14 14:53,,5,4
费拉STUIDO老贺,没有雾霾的天气 容我再吸两天。 ,2017-03-14 14:51,1,,1
西安工程大学微博协会,#西工程微分享#【西安秦岭空气18元一罐？】3月10日 西安市西咸新区沣河在一植树现场发放的罐装空气 秦岭深处的富氧空气 采用压缩罐 包装每罐装7升18元 按一次喷一次的话可用约50次 若按一次持续喷 可用2多分钟还是不知道雾霾如何治理...大家还是祖国的吸霾机笑着活下去 ,2017-03-14 14:35,,6,18
ZoysiaQian,你说还能看得清wo么，天气还不错，还能看得清，看来最近雾霾太重了，玻璃都弄脏了 |广州·广州... ,2017-03-14 14:35,,4,6
成都交警五分局,#交通安全小贴士#【你可能不知道的车内小功能】①遮阳板可以向侧面转；②油表灯可以看油箱盖方向；③后车开远光灯可调防炫目模式；④安全带高低可以调；⑤儿童安全锁可避免孩子误开车门；⑥后窗起雾可以加热；⑦后备箱其实是“逃生舱”；⑧雨雪、雾霾天可以开雾灯；⑨玻璃水乱喷可以调 ,2017-03-14 14:32,,,
中国环境新闻,#直通长安街# 两会环保声音【陕西西安市市长上官吉庆：治雾霾"人努力"是根本】治雾霾不能靠运气，“天帮忙”很重要，“人努力”才是根本。雾霾治理要充分发挥“人”的主观能动性，要把措施定细，责任落实。今年西安部署安排了“铁腕治霾·保卫蓝天”“1+1+9”组合方案，并与各相关部门签下军令状，要逐 ,2017-03-14 14:22,17,3,3
俄罗斯卫星网,【媒体： 摄入维生素B族能减少雾霾危害】新研究发现，在前往空气污染严重的城市前，只要食用足量的维生素B族，就可以保护你的DNA不受伤害。 |媒体： 摄... ,2017-03-14 14:22,19,11,17
Angelia磊,没有车水马龙的喧嚣，没有拥挤的人群，没有雾蒙蒙的雾霾只有清新的空气，绿油油的稻田，蓝天白云，一天好心情哦! |盐城·阜宁... ,2017-03-14 14:20,,1,
蒋天旭,这个城市天很蓝云很少没有雾霾生活节奏很慢人也很善良我不止一次想象过永远生活在这可是现在,2017-03-14 14:17,,,3
浙江日报,#2017两会# 今年两会，不论是政府工作报告中2017年经济增长预期目标，还是北京市对待雾霾的治理表态；不论是教育部明确预期“要根本消除校园欺凌短期不大可能”，还是国家工商总局对打击假冒伪劣设定的“天下少假”目标，给人感觉少些豪言壮语，多些实话实说 |弄潮号丨讲... ,2017-03-14 14:00,1,,
羅程Weirdo,无滤镜北京，没有雾霾，没有堵车 |北京·长安... ,2017-03-14 13:59,,8,8
公波尔甲,秦岭空气卖18元一罐 称有森林的味道_新闻_腾讯网  雾霾又创造了一项，经济趋势，没有雾霾，怎么能吧空气炒上去，提高gdp呢。万能的国人。万能的管理者！ |秦岭空气卖... ,2017-03-14 13:56,,1,
我是刘小天,自己要了两份，这种干拌面真的吃下去感觉好硬，跟不熟似的，是不是都这样啊，这个宫保鸡米饭味道还行，但是米饭不好吃。太硬。最近淄博天气都超级好，最近一段时间都没有雾霾，真好真好真好。图三那个是个啥？你们知道吗？ ,2017-03-14 13:47,,3,
汐汐xym,致让人心疼的职业——骑手面试过后 找了一家饭馆坐下来吃饭看到一个骑手焦急取餐的背影拿着面条小跑出去的样子突然好心疼他们风里来雨里去,2017-03-14 13:46,,,1
趙趙zzi,分享青岛……高低不平的路  庄严的大教堂 红顶的德国建筑  美味的海鲜再配原酿青岛啤酒 随处可见拍婚纱照的幸福人儿  抛开海水有些污染大风雾霾  还是夏天最好 |青岛·青岛... ,2017-03-14 13:44,,2,11
丰满飘散恬静语,虚假象雾霾一样无处不在时，部长一面承诺转基因确保安全才上市。因人已不拉好屎。鲁迅言国民性最悲哀是麻木；由损人利己到损人不利己！谁都在劫难逃…… ,2017-03-14 13:38,2,7,
卧蚕今天几点睡,希望北京的两会永远都开不完 这样就可以享受永远的蓝天了  你们知道住的高然后看雾霾的感受吗 就是感觉自己真的是个仙女活在天上 因为一眼望出去 除了白朦朦的仙境什么都没有 ,2017-03-14 13:35,1,55,224
董小姐美肤馆,据说今年很流行一种颜色叫“雾霾灰”用完排毒霜，我秒懂了[奸笑] ,2017-03-14 13:32,,,1
二孃鸡爪爪,有人说成都的冬天爱上了成都的夏天，可是他们始终不能相见，后来他们联手干掉了成都的春天和秋天。且后夏天无雨，冬天无雪，之后他们生了个女儿叫春寒，生了个儿子叫暖冬，还有个干儿叫雾霾，从此成都人过上了乱穿衣的生活。并留下千古名句……众里寻它千百度，它想几度就几度。熬过了冬天，却冻死在 ,2017-03-14 13:23,1,2,1
Lance迷城lotOng,有农药残留：西北风来刮：十个月的奴才；有激素：张嘴就是雾霾残渣、想喝西北风吧！ |济南·济北... ,2017-03-14 13:17,3,1,
林俏俏好吗医馆,《我为祖国吸毒气》】！哪里有雾霾！【歌曲……谦卑的心是宛如野草小花的心！ ,2017-03-14 13:15,1,1,
FmiLLLLL,头一次感觉没有雾霾的天 |唐山·华北... ,2017-03-14 13:13,,2,16
卜远斋,受共享单车启发，我计划在100个城市，投放10万个破碗，共享讨饭，每个碗标注二维码，用强力胶在碗底粘一块钱，随用随取，每天日终收取1元使用费。加上gps芯片追踪定位和计费措施，用大数据技术为讨饭者提供流量和crm分析，报表分析。提供天气，雾霾指数，城管驱赶指数，保证讨饭收益。一年下来，收入不 ,2017-03-14 13:03,,,
浣浣1392,#棒棒糖的蜜汁幼儿园王国# 再来几条：1. 用牙线代替牙签。2. 每天喝点牛奶，中国人钙缺失还是蛮严重的，可以选择脱脂的。3. 女生可以经常泡泡脚，温度在40度左右，不宜过高。4. 包里带着口罩，远离雾霾和二手烟。 ,2017-03-14 12:56,,1,
Z-G-耿耿,雾霾很久很久了，何时才起风？心好累好累 |钦州·浦北... ,2017-03-14 12:53,,3,
山有木兮木有枝_TY,为什么说上了大学就可以放松？明明是比高三更黑暗更可怕的岁月六点四十早操，二十二点半下课一周五天四天满课忙起来的时候什么都找上你什么都不想干，只想打人然后大哭再加上天气热，胸口闷的喘不过气,2017-03-14 12:49,,6,5
花开一世童谣,北京人趁着两会还没有结束赶紧出来喘口气～采采泡温泉～然后可以迎接没完的重度雾霾了噜～ |北京·九华... ,2017-03-14 12:41,,,2
春风拂槛露华浓_J,#妆容# 阴雨天配雾霾霾的绿眼妆。昨天睡晚了，巩膜又变蓝了…早睡早起啊！ ,2017-03-14 12:34,,5,2
咪娅OwO,repo一条冷门（？）裙子：星空の天幕と秘密のサーカス団 【anp星空天幕马戏团】若草色OP这条裙子被我和闺蜜“亲切”地称为“雾霾”，因为从官图上看柄图糊的跟没有似的到手感觉比官图可爱多了，但柄图确实糊（...）经鉴定若草色应该是最糊的，P7是同系列天蓝的对比，柄图明显清楚很多。腰间有 ,2017-03-14 12:27,,4,5
青驿网,【清华研究生不配留北京？】上周我从深圳去北京出差，多年未见，便约了几个研究生时候的同学，晚上小聚。当我们走出饭局，走在雾霾笼罩下的路灯之下时，遥望远方的东城区、西城区，说着那里的学区房动辄15万、20万一平米时，调侃道：如果清华的学历已经不管用了，学区房为什么还那么贵？这真是迷之问题 ,2017-03-14 12:27,2,3,1
微天下,#全国两会2017# 【欧洲媒体评中国两会:增长更“结实”向雾霾宣战】欧洲多国媒体重点关注了在今年国内生产总值增长6.5%左右的预期目标下，中国将如何更好地完成经济改革、转型升级这一命题。详见|外媒评中国... ,2017-03-14 12:18,5,9,15
文斌0000,#申论技能#   治理雾霾，需要告别“口头环保”  一年多来，人们认识上的雾霾在逐渐消退。但是，生态灰霾的清除，却更加任重道远。风来又去、霾散还聚，何时方休？  产业结构的失衡，节能减排的欠账，生态文明的差距，是造成雾霾天气的“元凶”。同时，我们每一个人，也都脱不了干系。每一 ,2017-03-14 12:18,,,2
zping163,上午指数运行情况如下，指数涨3点，指数安全度位于晴朗区，盈利水平为小利，淌出来了一点小油水，总比雾霾强，总比泥潭强，仓位71％，前值68％，市值亏损680元。记得下午减仓，今天收盘仓位55％附近。本周周阳仓位理论值53％。本博以此作为控制仓位基准线。【宁静致远】【炒股寻开心】 ,2017-03-14 12:13,,,
