博主,博文,日期,转发数,评论数,点赞数
歌一山,我一直在寻求变化，心里却并未有过一丝一毫的变化。快乐这个东西太难寻找了，在二十五周岁的晚上，我无比地想抽一支烟。然而，烟未找到，雾霾弥漫。    ——记2016年12月2日二十五周岁生日 ,2016-12-02 23:22,,13,6
小桃水蜜,因为这边雾霾大啊专门买了一个口罩结果吧发现雾霾没有那天那么大了而且这几天戴口罩出门的人啊少得很突然觉得我亏了但是室友告诉我可以防寒哈哈哈但是真的拿出来防寒这逼就装大了这边又不咋个冷 ,2016-12-02 23:22,,7,3
SALMkcs,心累昨天聚餐很累很困但是2点才睡。今早起早赶着去看了你的名字。然后今天的成都雾霾太重。下午讲了物流PPT赶着洗了个澡吃了火锅然后看了3小时多直播。结果我烈一出来就卡画面，然后断网了！狗屎哦 ,2016-12-02 23:21,1,2,1
小哥哥家的星星,#张杰##张杰间谍同盟#包场电影因为杰哥唱【Give You My World 】是电影全球唯一推广曲 才去看的 但是电影很好看 Marion漂亮又有气势~和布拉德皮特在结束那段演技很赞 唯一就是今天雾霾太严重出门就是吸毒 还下着雨 这种天气出门是要勇气的 |成都 ,2016-12-02 23:20,,2,14
leftnana,#成都雾霾#这霾太严重了！！！就下班那么一会儿在室外，现在嗓子都还难受，还有脸上起了很多一小片一小片的红疹子是什么鬼？ |成都 ,2016-12-02 23:18,1,12,1
LinFenLIVE韩胜,《临汾：应对雾霾市区公交延长运营时间》（崔洁春升） 连日来，雾霾天气给市民出行带来不利影响。为应对雾霾天气，减少市民自驾车出行次数，方便市民搭乘公交，临汾公共交通有限公司延长了市内8条公交线路运营时间。具体情况，详细来了解。点击链接看视频网页链接 ,2016-12-02 23:16,3,1,1
太原晚报,#太原高校生活# 【大学生献爱心—赠送环卫工人手套和口罩】近日，中北大学理学院青年志愿者协会的志愿者们，向五一广场附近的环卫工人赠送了100件口罩和20双手套，以实际行动来表达对这些默默付出的劳动者的关心。同时，他们还对广场附近的市民行了有关雾霾的成因及预防措施的宣传和调查问卷，并且通过 ,2016-12-02 23:16,9,18,26
最自贡,#今日自贡# 今天成都市环保局发布了一张全国空气质量地图，当然你也可以把它看成是“雾霾地图”，红色区域雾霾最严重。我就想问问自贡这一点随时飙血吗？别说什么修马路修出来的道理，扬尘和PM2.5应该有差异吧？图据四川日报 ,2016-12-02 23:15,12,65,96
喜舍2017,昨天要求年终工作总结、才注意已然岁末了…日子过的快…曾经觉得、开心忙碌的日子快清闲有难的日子漫长…眼前却是再大的惊天动地也阻止不了时间匆匆时间不够用似乎成了一个长远的问题回首…,2016-12-02 23:15,,1,2
中国_军人,深夜不忙了，翻翻老照片，再看看那些令我魂牵梦绕的地方，不禁热泪盈眶。。。阳坊甲一号，景山西街甲二十一号，密云，西山。。。一声“上车”就紧急奔赴火场的我们;就在天安门附近却未曾真正去过;那年的北京没有雾霾，再也回不去的那年。。。 ,2016-12-02 23:15,,18,34
十月不爱九月,今天雾霾超级大，但是和媛媛在一起很开心 |成都·盐市... ,2016-12-02 23:15,,2,3
命运魔法,看到一张图今天成都雾霾全球排第三，怎么办好悲伤，在成都居住11年了，这3年开始成都空气质量越来越差，想回到老家攀枝花了，想看蓝天白云了，可是工作家都在成都，真想把孩子带离成都啊 ,2016-12-02 23:14,,1,3
傻不溜秋的大桃子,#成都雾霾#感觉已经活不过这个冬天了，全球第三呐！ ,2016-12-02 23:13,,,3
段钰奔蹦4泽蹦,温馨提示：本次运动持续两小时零七分，总计约消耗617千卡热量，加上雾霾影响，促进运动效果，相当于抽完742根烟。 ,2016-12-02 23:12,,8,6
符豆豆的成长日记,D1423 今天姥爷来啦 豆宝一下子变得听话顺从了 放学了就回家一句要出去玩的话都没有 只是到了家里就姥爷姥爷不离口了 一直和姥爷玩到睡觉。今晚在睡前故事环节 豆宝自己念书 南半球 北半球 春半球 白半球 妈妈问为啥有白半球 豆宝说：那是雾霾！好悲桑图九为豆宝今天的绘画作品：五指山 请欣赏。 ,2016-12-02 23:11,,1,3
_Cherry_T,当心情笼罩雾霾，总有阳光会照射出来，周末愉快 ,2016-12-02 23:10,,1,6
徐徐徐小妮妮儿,#叫我仙女##成都雾霾# 感觉今天在烟雾缭绕中行走 ,2016-12-02 23:09,,2,16
cika,23:00……雾还是雾霾已经分不清了……反正是啥也看不见……一家人车里睡吧……不经历风雨大雾……就不叫真正意义上的自驾…… |凌海市 ,2016-12-02 23:09,,6,1
不啦不啦-小曦儿,天气冷、空气质量差、严重的雾霾、四点多天都快黑了的感觉…跑来吃小米辣～偶然遇到一对情侣，女孩拿着手机在看电视剧、男孩蒙头只顾着吃…期间除了要下菜的时候说话，其他时间都是一个吃、一个边看边吃…一年以后或者三年以后又或者十年以后他们会后悔当初在一起时浪费掉的时间吗？ ,2016-12-02 23:09,,,1
太-上忘情,还好今天怂了个口罩回家…这雾霾要是再不散，又只能祭出我的大杀器了！ ,2016-12-02 23:08,7,,3
走廊里没有花香-TTT,来到北京的第一夜，既没有看到京都的繁华也没有感受到浓重的雾霾，因为我在五环之外的郊区，听了一夜飞机起飞的声音（就这么来到了首都机场的脚下了呢）。或许：一夜无眠... |北京·Latit... ,2016-12-02 23:08,,3,1
彭玉婷798_,没有沙尘没有雾霾 只有蓝天白云和你~ |丽江·丽江... ,2016-12-02 23:08,,2,6
枣泥mio,被帝都的雾霾熏陶得咽炎又严重了本来还想把明月舟抄完，算了先睡啦orz。晚安喊寒，晚安小可爱们#慕寒mio# ,2016-12-02 23:07,,6,23
柠檬加醋tjf,能在雾霾天冒着寒风坐公交车跑七个站相约看电影，必须是老友啊@lt后知后觉 |成都·新城... ,2016-12-02 23:06,,7,7
法语学不会咋办,打开窗户吸雾霾实在忍受不了室内27.8度的高温热炸 |石家庄 ,2016-12-02 23:04,,26,13
西蘭小小花ll,#成都雾霾# 今天真的感觉到呼吸难受，呼吁大家咋个度过雾霾天，最根本的是要把那些所谓的赚钱的源头赶走，快点guen了。@成都第四城 大四川的朋友，大家行动起来，把石化那些家伙叫停！！！ ,2016-12-02 23:03,,,1
Path白告,河北的雾霾果然严重，见识了到了酒店还能撸串，爽第一次到北方居然被酒店暖气热的睡不着，服最后强行贴纸遮盖下卢指导 |石家庄·石... ,2016-12-02 23:03,,18,8
victoryssing,#成都雾霾# 可见度@#*$&^%。四点的时候天都是黄色的拖着自己去山城隐居好啦 ,2016-12-02 23:02,,2,1
四川日报,【“雾霾地图” 今日“火红”一片】今天的雾霾让成都上演了一场“黑白大片”，但这次不仅仅成都“中招”！成都市环保局刚刚发布了一张全国空气质量地图，当然你也可以把它看成是“雾霾地图”，红色区域雾霾最严重。来看看，“火红”的那片有你的城市吗……记者 冉倩婷 图据真气网 ,2016-12-02 23:01,31,45,41
陈翔啊我改个名字,#陈翔我不是特工##陈翔#第31天，大三课少，然后周五要早起接近满课加考试，觉得累得不行只想回寝室躺躺。成都的雾霾今天跟你说晚安这南方的霾迷住了我的双眼，不知道你那里空气好不好@陈翔橙 ,2016-12-02 23:00,,,2
考拉SuperCara,变成热搜了，我天府之国，回来那天雾霾全国排名第一，今天说出门去拍个照，一片灰蒙蒙，心塞，并不是因为不能拍照，我只能说，乡亲们，多吃血旺，多吃藕，多吃山药，多吃鱼，吸吸霾。。。心中省略一万字，懂得人懂 ,2016-12-02 22:59,,69,13
Renee皮皮,人啊，就是越重要的越是容易去伤害，我是真的好恨你们啊，我不曾觉得我们做朋友会有这样的一天，大概是今天雾霾吸多了吧 ,2016-12-02 22:55,,15,10
追自己尾巴的猪,day 2：全日故宫暴走，皇帝的家果然金碧辉煌，不过御花园不大给力啊。出来后趁太阳还没落山赶紧跑上景山看紫禁城全景，可惜雾霾一片灰蒙蒙。顺便看了明朝皇帝上吊死的地方。晚上买到了一直寻觅的栗子，吃了爆好吃的羊蝎子。步数居然和昨天精确地相似，又是2w步。 ,2016-12-02 22:55,,1,3
吃个土豆儿好吐皮儿,雾霾哦~醉求了～空气都治理不好，天天宣传最佳旅游城市，最宜居城市，真是尴尬症都要犯了。 ,2016-12-02 22:53,,,2
Hoke酱,#黄宇航##黄宇航路途遥远我们一起走吧# 冬天确实很冷啊，今天的天简直就像世界末日僵尸横行一样，其实就是雾霾啦哈哈哈哈哈哈。很可怕了，都不敢大口畅快呼吸啊。不知道人类的最终归宿会是什么呢，能等到太阳寿命终结的那一天吗。科学的世界最有意思了吧。晚安，今天只想和世界约个会。 ,2016-12-02 22:52,1,2,
芳菲小猪919,这个初冬，临汾因为雾霾预警级别不到位挨了上级的批，还上了央视新闻，于是开始大力整治。整治的手段到了因噎废食的地步，好比“宁可错杀千人绝不漏掉一个”，老百姓怨声载道。汽车单双号限行、烧烤摊全停、夜市饭摊全停、用木炭的铜火锅全停、所有饭店必须安装油烟净化设备……今年夏天，夜市所有的烧 ,2016-12-02 22:52,,,1
苳安,再看这些风景，我校简直是作弊，毕业后物是人非，风景却春城如故，不落叶不知冬已到。如今这杭州是烟雨江南也是雾霾江南，只能怀念过去的高原蓝天，哪些日子，哪些人。 ,2016-12-02 22:51,1,,3
石炜中47597,来博物馆了，感觉好高大上的样子，这么多鸽子和人们还能和平相处，丝毫没有受到雾霾天的影响，逛了一圈，确实很不错，里面超级大，各种眼花缭乱。只能说:不来博物馆，枉来石家庄。 |石家庄·石... ,2016-12-02 22:50,1,1,7
wuli王巨可爱,#成都雾霾#进全球前三这是要去北京避一避吗心痛我大成都 ,2016-12-02 22:48,2,2,6
等风来哒哒哒,昨天晚上花四个小时画图，今天晚上修改PPT没有保存，我咋不上天呢还有今天成都的雾霾真的真的好严重 ,2016-12-02 22:46,9,4,4
tiger的粑粑2015,#石家庄雾霾# 通过查看国际环保组织绿色和平发布的《中国366座城市PM2.5浓度排名》，2015年与2014年相比对比发现石家庄的年度平均PM2.5由122.6下降为87.2，降幅为28.87%。2014年全国排名倒数第3名，2015年全国排名倒数第19名，希望2016年的平均值能够再进一步下降！@石家庄的事儿 ,2016-12-02 22:45,1,1,
巴适成都,#成都分享# 【雾霾天如何维护健康？十个小方法供参考】这才是雾霾天的正确打开方式～了解一些防范雾霾的基本常识，十个小方法，转存！ ,2016-12-02 22:45,41,7,23
少女情怀总是吃lh,《消失的城》雾霾仙界 |太原·富力... ,2016-12-02 22:43,,4,4
奏耐天津,@晓说成利多杰：雾霾的夜晚！走了7500步后的口罩，鼻子和嘴呼吸的位置已经一层灰了。[撇嘴] ,2016-12-02 22:41,2,32,17
多肉铺子,说成都雾霾世界第三估计没啥概念，看看我戴了几天的口罩就够直观了。 ,2016-12-02 22:38,,,3
何苏猫,今天成都这个雾霾和火锅这个花椒真是惊了，差点被毒死 ,2016-12-02 22:38,,16,25
水獭要回大浙江,把雾霾拍出了迷之美感花色烤肉好大块超市里已经有了圣诞气息，马赛克掉标签，很温馨就是卖猕猴桃买的比较失败，一开始只看到了进口的，一个6块9，一个3块9，果断选择了便宜的啊，结果称完才发现国产的又大又便宜 ,2016-12-02 22:38,,8,3
Dorcarine,#成都雾霾#彭州石化建在上风口的后果今天成都人民吸进去的霾就是当年选址时领导脑子进的水 ,2016-12-02 22:37,8,16,21
周轴肘咒还是周周周,刚才偶然瞥见西门大嫂发的文 才猛然发现原来口里寒暄的12月的开始其实更多的是2016的结束不知是年岁增长带来的恐惧还是人生无常带来的悲凉2016是我有生以来感觉过得最快的一年1月:跨年是我一个人在没有任何家人朋友的郑州并且没有人陪伴下度过的,2016-12-02 22:35,,2,3
活该背时不打灾灾,#成都雾霾#感谢广州的好天气给了我好心情 |广州·江泰... ,2016-12-02 22:34,,2,3
懋七-Tracy,（锻炼打卡） DAY1  希望自己一直有坚持锻炼的毅力活力满满什么的最美好了全世界最好的室友会在我中午午睡的时候让她们班来我们寝室交东西的快点交说不要来敲门啦我室友在睡午觉还给我分享巧克力以及超好吃的糖雾霾那么大，外面那么冷，心却那么暖。 ,2016-12-02 22:32,,1,6
巴松狼王,发布了头条文章：《拨开“雾、霾”见蓝天》 病来如山倒，病去如抽丝。你选择了什么样的发展方式，就选择了什么样的天空。发展转型的长期性、艰巨性决定了雾霾治理的长期性、艰巨性。雾霾治理的强度决定改善期限的长短。减少各种排放，一万年太久，只争朝夕。 |拨开“雾、... ,2016-12-02 22:31,153,59,72
朱zi莹,今天成都雾霾 世界第三 中国第一。不过不知道数据准不准。确实是我见过最厉害的，整个下午天都是黄色的大家出门戴个口罩吧。图二是今天最讽刺的照片，成都电视塔发射成功/尴尬 #成都雾霾# ,2016-12-02 22:30,,2,10
晗皇后,我在#鹿晗愿望季#许下一个心愿，【许愿成都雾霾赶快好一点吧 不戴口罩都不敢去户外了……感觉空气有毒 希望人人都有口罩戴】，希望可以实现，你也来许下你的心愿吧！网页链接 ,2016-12-02 22:30,,,2
周文中sunshines,火车在黑暗中急驶，朝着一个陌生的城市。伴随着隆隆的车厢震动的声音，周围的三个陌生人睡得正香，也不知道她们是怎么能睡着，而且睡这么早。我也是昨天临时决定的，也不知道是什么原因，就是想离开北京一阵儿，可能是工作太累了，可能是好久没有没有来一次说走就走的旅行了吧，又或许是北京的雾霾太严 ,2016-12-02 22:30,,6,6
YangJunJA,雾霾天拒绝出门 |成都·郫县 ,2016-12-02 22:29,,,6
秋-Queen,我大成都的雾霾是世界级的！ ,2016-12-02 22:28,1,1,3
孤舟一去迷经年,#成都雾霾# 等于说我今天还去吸霾了  想哭 ,2016-12-02 22:25,,,4
匠心FYH,毛衣上不知何时破了一个洞................，只能用包包带子勉强遮一下，面对晚上极具挑战的寒风和雾霾，还是高兴穿的高领的，直接当口罩用，拼命12月，赶快给自己买件新毛衣吧，哈哈哈 ,2016-12-02 22:25,,6,3
北京farmer,定时定点的雾霾追踪，推动绿色出行，科学生产生活。12月2日，周五，白天晴，继续保持良好空气质量，给人愉悦心情。傍晚出现少量雾霾，部分地区雾霾模式。环保局长公布结果，气汽车排放站到pm2.5占比到百分之30到40，我们必须绿色出行，必须提高油品质量。建议大家不要单独驾车出行，最好公交或者自行车 ,2016-12-02 22:24,1,1,2
羊羹鼻鼻子,以前在书里读到的“sorber los sesos”在西班牙语里意为“吸光了理智”，用来描述爱情发生时，但作者深一步的讨论内容我努力回忆但的确忘了！查了资料没找到书名和作者，苟且。这种记忆衰退现象（一定）是太阳晒少了导致的 嗯 潇洒地将一把药丸洒向沧沧雾霾中。 还是我就没读过这样一本书？苟且极 ,2016-12-02 22:24,25,130,555
上海Plus,中、美、英三国对不同科学领域的贡献，如图所示。中国医学科研水平之差，仅次于天文学。天文学差，可以说是雾霾造成的。医学这么差，毫无道理，三甲医院每年这么多临床案例，连几篇paper都TM出不来。最新疾病治疗方案、特效药，全是买美国佬的。@财上海 ,2016-12-02 22:23,3,1,4
李嘉欣Am_JX,我知道不同的人或者不同阶段的快乐都是不一样的 今天的我可能因为喝了一杯淳香的咖啡或是今天没有雾霾的好天气就很开心 我知道也许以后我开心的理由不会是这个 但是不管多久 我开心的理由 一定有你T@带我走啊拜托了 |渭南·蒲城... ,2016-12-02 22:22,,16,18
恩恩蕤,雾霾爆表的一天，情绪也跟着毛炸起来，完全不晓得这个连多呼吸几口肺都会痛，你妈站街对面都认不出的鬼地方，还天天得意洋洋的宣传自己是“国家中心城市”“最具幸福感城市”，这样自欺欺人脸疼不疼，哦对了，忘了不要脸的人根本就没脸！ ,2016-12-02 22:22,,6,1
Li--Dorothy,雾霾这么严重，就靠鸡血来洗涤心灵了@Diana--Xuxiaoqin @谭维维维维维 @杨阳 ,2016-12-02 22:19,1,,
朱美璇-玖道,日本之行第一天：路過河北，感覺在我家磨牆的感受，霧霾！晚上入住北京西另外一端的5還外的酒店。下動車後的一路中巴顛簸，肚子也餓了，腰也做硬了，黑色星期五的威力無限。 由於明早班飛機，早上我們必須4:00多就要起來咯。 |北京·北京... ,2016-12-02 22:17,,2,2
我是happy栎树,深夜发吃，团队大餐继续给羽南过生日雾霾天吃个牛肉锅 ,2016-12-02 22:17,1,4,1
八爪鱼不可爱,就想知道，这是不是我天府之国第一次排名荣登世界前三名？？#成都雾霾# ,2016-12-02 22:13,,6,8
渡边侃侃,长江在哭泣！湖北上市公司排污肆无忌惮，污水刺鼻、触目惊心...@手机QQ浏览器 网页链接练连着几天的都在播污染，经济发展是以牺牲环境为代价的，触目惊心，大自然的报应来了，无休止的雾霾…… ,2016-12-02 22:13,1,,1
伟大的稻草人KIDTO,#成都雾霾#据说今天冲进全球第三了。。也不知道是真是假，，反正确实雾霾很凶，有些东西不敢较真。较真就要出事。。。那还是庆祝下我们这些生活在成都的人们又享受全球第三的待遇了嘛。。唉，，难怪医院业绩好，，这样子下去。。医院都可以成为支柱产业了。。。 ,2016-12-02 22:11,1,2,4
杨杨杨YANGLIN--,#成都雾霾#全球第三 ～word天厉害了 ,2016-12-02 22:11,,1,4
JIN-JINGBO,吸了一天成都雾霾晚上排了二个小时终于吃到，该回学校缓一缓了 |成都·小龙... ,2016-12-02 22:10,,1,7
圆圆哒胖胖哒哒,#成都雾霾#  世界第三 也是没谁了 去澳新玩吧 远离雾霾 珍惜生命 ,2016-12-02 22:10,,,4
污力仙女--Fve7,有时天晴有时雨 雾霾天让人感觉世界末日了 行走在世界的尽头 我们不过是芸芸众生中最渺小的一只 我们前往不同的地方 擦肩而过 偶尔眼神的碰撞不过在下一秒消失不见 生活想电影一样美好 一物一人都是那么好 做个浪漫的人吧 无论你在哪里 学什么 生活枯燥或是忙碌 心要是蓝色 像海 |成都·新都... ,2016-12-02 22:10,,1,4
MBH__,北京的冬天要一直这样就太爽了接下来就是雾霾橙色预警，每次见他家门口的大长队就发誓要进去吃一次，今天真的去了，以后不去了 |北京·霍营 ,2016-12-02 22:09,,9,6
GossipGirl高越,#成都雾霾#我在成都的雾霾里 ,2016-12-02 22:07,,1,4
诶是小太阳sei,Magic，今天星期五下课就吃到了肉夹馍，呼吸到了新鲜的雾霾喜欢特别吃完饭特别饱满的打一个嗝的感觉终于到了12月了，好开心最近运气总是忽好忽坏，昨天物理课上老师放视频，然后前面是啊鹿的肯德基圣诞广 ,2016-12-02 22:06,,,1
原来我是这样的馍馍,好累，好饱，突然想就这样，留在郑州，留在这个充满雾霾的城市。 |郑州·雪松... ,2016-12-02 22:06,,5,9
暹罗猫张萝卜,北京的冬天不是雾霾就是冷好久没撒野了 ,2016-12-02 22:05,5,25,65
A_樱小君,今天的成都雾霾太大 还下雨 实在说有点点影响心情 但还是忍不住出了门 ,2016-12-02 22:03,,,3
张西瓜WesT好烦的,hello大家好，在这个雾霾的周五，我竟然还有勇气不戴口罩的出门给大家品尝美食去了…看着天空黑的呀心情都不好了……今天给他家摆的是之前上了成都美食公众号推荐的汇川鱼馆。其实它并没有公众号说（chui)的那么凶残啥子没得菜单老板安排菜，有菜单的哈……因为我们去的很早四点过去吃晚饭 ,2016-12-02 22:03,,5,3
每天学点摄影技巧,在雾霾天里给你的照片替换上白云蓝天 作者：@蔡九记 #小影微视... ,2016-12-02 22:00,51,4,54
朵朵_Anita,#成都雾霾# 成都欢迎您不堵车、空气也好 ,2016-12-02 21:58,,,5
三个三个三个三,回家躲避雾霾 ,2016-12-02 21:58,,,5
大江网姚海南,【舌尖上的雾霾】相比于沪霾的湿润，冀霾的激昂，晋霾的醇香，苏霾的湿热和粤霾的甜俗，更偏好京霾的厚重，这与江西人的性格不谋而合。尾气的催化、钢铁的气息再与山西煤烟的充分融合，使京霾别具风味，吸入后润肺沁脾，似火锅涮肉般酣畅淋漓，比之沪霾，那是绝对没有虚情假意的猫屎咖啡小资情调。 ,2016-12-02 21:56,,,1
森林中的_LLS,成都雾霾都上热搜了，这是我们学校官博发的，还有心情P图/摊手/摊手/摊手/出去吸了霾，吃了串串 ,2016-12-02 21:56,,4,7
行走的鱼oO,重度雾霾搭配下雨天，晚上吃了太多，烧烤、甜品、蛋糕，明天跑个五公里也消耗不完。冷雨夜，怎么感觉今年冬天比往年冷，想要买一件及膝羽绒服把自己裹得像个粽子。 ,2016-12-02 21:54,,,3
信与邮差__,写到手软！ 雾霾这么重 哪个送我个口罩嘛 实在不行 可不可以送把伞来 |成都·四川... ,2016-12-02 21:52,,4,5
偷笑的天花板,最近有点不顺啊。前几天，一不小心把所有银行卡锁住了。洗澡去，学校断水了。打水回来洗脚，壶底掉了，全洒脚上了。恩，不能转账，不能支钱，不能走路，靠宿舍姑娘们接济了好几天，恩，脚好了，坐着大保定的免费公交去开卡，等了一个多小时，三分钟办完。唉，回来又多吸了好几口雾霾。 ,2016-12-02 21:50,,10,
微笑的达玛,#跑步改变生活#周五，摄氏8度，中午气温近20度。4公里前两小腿酸胀，几乎想停下来，坚持住了，仿佛翻过了一座山，眼前风光无限。早上雾霾犹如仙境，晚上稍好，夜跑13公里，安逸！晚安！（图二：难得20公里外还能见到蓝天和银杏） ,2016-12-02 21:49,,4,4
乔燃好燃,#电影28岁未成年# 大雨雾霾 大晚上的也想去的去看你@倪妮V 点映 好棒 笑笑哭哭 真好 喜欢小凉夏的性格却也心疼她 你还是这么厉害 能把两个不同性格的人演绎的这么好 最后看到花絮也是觉得你们好辛苦 照顾好自己也祝你越来越好 有更好的作品 一直这么美下去@倪妮V ,2016-12-02 21:49,,5,23
Hey牵着手去月亮上唱歌,没想到#成都雾霾#上热搜了，感触最深的就是之前大一才来只是感觉成都冬天灰蒙蒙的，那时候空气还可以，没人说雾霾。大二大三的时候彭州石化闹得很严重，之后就开启了雾霾模式从去年开始就快赶上北京啦，今年#成都雾霾#就更不用说了，才 11月开始就天天在吸霾 |成都 ,2016-12-02 21:47,2,3,10
Cindy木小木,昨天还在跟高中好朋友抱怨成都雾霾严重，今天就上热搜了！突然好想回广元，虽然冷是冷，但空气质量不错啊，上班回家，走在路上感觉跟吃了沙一样。。。蓝瘦，香菇！#成都雾霾# ,2016-12-02 21:44,,,
嘟嘟嘟pink,#成都雾霾# 上午才出炉的16年最具幸福感城市榜首，下午就因为雾霾上热搜，这脸打得 |成都·成都... ,2016-12-02 21:43,2,,7
明明_ming_,前两年成都雾霾基本没有怎么突然这么严重？看好多网友说是彭州化工厂的原因好好的一个天府就因为一个化工厂马上要变地府了 ,2016-12-02 21:43,,,2
奕凌Elaine,听说今天成都雾霾全球第三！刚刚想去阳台晾衣服，一打开窗户，差点被呛到！什么鬼天气！！！ ,2016-12-02 21:39,,,4
四川大学锦江学院微校园,【#成都雾霾#我锦江也被传染】成都雾霾指数全球第三雾霾怪兽也来我锦江了各位宝宝一定要做好防霾工作！ |眉山·四川... ,2016-12-02 21:35,1,2,8
王中强律师,【聂树斌改判，你看到的是太阳还是油灯】12月2日，最高人民法院第二巡回法庭改判聂树斌无罪。沉冤21年终得雪。一纸判决还了聂树斌及其家人一个公道。最高法说，这个判决彰显了司法公正，我说，我在浓厚的雾霾里看到了盏飘摇的油火了！ |平湖市 ,2016-12-02 21:35,4,5,8
学霸课长,这估计是每一位在雾霾中跳广场舞大妈的心情吧。 ,2016-12-02 21:34,3,3,18
婧哥哥-,呵呵哒……成都雾霾全球第三...这雾霾吸的妥妥的...简直绝了…成都，带不走的只有你—雾霾...@牧暮暮暮 这雾霾，下午上完第一节课还以为晚上了…… ,2016-12-02 21:32,,4,4
青志协电子分会,北京雾霾风一吹就散了，成都雾霾只能我们自己消化，我不知道这件事跟彭州石化有没有关系，至少我知道今天的成都雾霾里有种冷锅鱼的味道，昨天是钵钵鸡，我希望明天是酸辣粉。 ,2016-12-02 21:32,3,1,13
河马婶儿,雾霾天需要鲜花来拨云见日。 ,2016-12-02 21:31,,,16
米兰和球球,周末醒来 大北京的天蓝的气人 小区里的肥猫肥得简直不像话 这要再过个年得啥样 锻炼的阿姨们舞着红红的扇子咋就那么美 有滋有味的生活完全取决自己 与在哪里无关 即便夕阳红也有第二春甚至一直都在春天里 今个儿地铁里广播反复播报 雾霾黄色预警出行请做好防范 我旁边一大叔说 “他是不是瞎 这天蓝成这 ,2016-12-02 21:30,,,1
小米空气净化器,#米小净卧谈会# 2017年的国家公假表已经出来了，你想好做什么了吗？我是一心只为工作，雾霾不止，净化不休！（快帮我@ 老板加鸡腿~） ,2016-12-02 21:30,3,4,8
赵狗屎名字叫扯扯,今天这雾霾了不得，不明人士惨遭入镜 ,2016-12-02 21:29,,18,26
邵式租vcd老板,很高兴终于在大荧幕上能看到新海诚的精美画面。纵然有人说它假大空，但我觉得只要你有一颗相信美好的心才能领略它的美丽。湖边泛起的波光，城市便利店的灯光，山坡上的自行车和地铁窗外的风景。一切的一切虽然我们身处雾霾当中无法经历，但这不就是美好回忆中恋爱的感觉嘛 ,2016-12-02 21:28,,3,9
王旨文Mac,昨天晚上开业打了一节body combat 有点年轻时候的感觉幸好是昨天今天全成都雾霾，吗的，今天室外打搏击操估计要呛死 |成都·龙泉... 秒拍视频 . ,2016-12-02 21:27,,2,10
